,day_key,value
0,2015-01-31,9632
1,2015-02-28,3351
2,2015-03-31,2196
3,2015-04-30,2000
4,2015-05-31,1150
5,2015-06-30,1197
6,2015-07-31,968
7,2015-08-31,2909
8,2015-09-30,6400
9,2015-10-31,15258
10,2015-11-30,3780
11,2015-12-31,2100
12,2016-01-31,3256
13,2016-02-29,3518
14,2016-03-31,9585
15,2016-04-30,3965
16,2016-05-31,4316
17,2016-06-30,1021
18,2016-07-31,1495
19,2016-08-31,1539
20,2016-09-30,512
21,2016-10-31,501
22,2016-11-30,5159
23,2016-12-31,2466
24,2017-01-31,1375
25,2017-02-28,3107
26,2017-03-31,1717
